"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-25","7.38",,,"0.00","0.0","0.0",,"80","70",,"  100","  100",,,"14.1","19.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-26","10.96",,,"0.00","0.0","0.0",,"81","72",,"   80","  110",,,"17.9","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-27","9.84",,,"0.00","0.0","0.0",,"81","72",,"   80","   80",,,"17.0","23.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-28","8.05",,,"0.00","0.0","0.0",,"82","73",,"   90","  350",,,"15.0","19.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-29","12.75",,,"0.03","0.0","0.0",,"81","73",,"   80","   80",,,"19.9","28.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-30","14.99",,,"0.14","0.0","0.0",,"80","73",,"   80","   90",,,"25.9","36.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-31","16.78",,,"0.00","0.0","0.0",,"81","75",,"   80","   80",,,"23.0","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-01","14.76",,,"0.00","0.0","0.0",,"81","75",,"   80","   80",,,"21.9","27.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-02","15.88",,,"0.15","0.0","0.0",,"82","75",,"   90","  100",,,"21.9","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-03","17.22",,,"0.00","0.0","0.0",,"82","75",,"   80","  100",,,"23.0","31.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-04","15.66",,,"0.02","0.0","0.0",,"82","74",,"   80","  100",,,"23.9","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-05","13.20",,,"0.06","0.0","0.0",,"82","73",,"   90","  100",,,"21.0","29.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-06","8.95",,,"0.01","0.0","0.0",,"82","73",,"  100","  140",,,"14.1","23.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-07","4.70",,,"0.04","0.0","0.0",,"82","73",,"  320","  320",,,"15.0","23.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-08","6.26",,,"0.00","0.0","0.0",,"82","73",,"   30","   30",,,"16.1","25.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-09","11.63",,,"0.00","0.0","0.0",,"82","75",,"   70","   60",,,"21.9","34.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-10","14.76",,,"0.00","0.0","0.0",,"82","75",,"   70","   60",,,"23.0","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-11","13.20",,,"0.01","0.0","0.0",,"80","72",,"   70","   60",,,"21.9","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-12","15.43",,,"0.00","0.0","0.0",,"80","73",,"   70","   60",,,"23.9","38.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-13","16.33",,,"0.00","0.0","0.0",,"81","72",,"   70","   70",,,"25.1","34.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-14","13.87",,,"0.00","0.0","0.0",,"82","74",,"   70","   80",,,"21.0","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-15","12.30",,,"0.00","0.0","0.0",,"81","73",,"   70","   70",,,"21.0","29.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-16","10.51",,,"0.00","0.0","0.0",,"81","72",,"   80","   80",,,"17.0","23.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-04-17","7.61",,,"0.00","0.0","0.0",,"81","73",,"   80","  100",,,"13.0","17.9"
"USW00012850","KEY WEST NAS, FL US","2026-03-02",,,,"0.00",,,,"83","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-03",,,,,,,"77","83","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-04",,,,,,,"77","82","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-05",,,,,,,"78","84","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-06",,,,,,,"79","83","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-07",,,,,,,"79","83","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-08",,,,,,,"79","84","75",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-09",,,,,,,"78","83","75",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-10",,,,,,,"78","83","75",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-11",,,,,,,"79","83","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-12",,,,,,,"79","83","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-13",,,,,,,"78","82","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-14",,,,,,,"78","84","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-15",,,,,,,"79","83","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-16",,,,,,,"80","84","77",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-17",,,,,,,"70","79","65",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-18",,,,,,,"66","68","64",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-19",,,,,,,"69","74","66",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-20",,,,,,,"70","75","67",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-21",,,,,,,"71","75","68",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-22",,,,,,,"72","77","68",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-23",,,,,,,"72","77","68",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-24",,,,,,,"72","76","68",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-25",,,,,,,"74","80","70",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-27",,,,,,,"76","82","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-28",,,,,,,"77","81","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-29",,,,,,,"78","83","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-30",,,,,,,"77","81","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-03-31",,,,,,,"77","82","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-01",,,,,,,"78","82","75",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-02",,,,,,,"78","83","74",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-03",,,,,,,"79","84","76",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-04",,,,,,,"79","83","75",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-15",,,,"0.00",,,,"82","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-16",,,,,,,,"82","73",,,,,,,
"USW00012850","KEY WEST NAS, FL US","2026-04-17",,,,"0.00",,,,"81","73",,,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-01",,,,"0.01",,,,"83","70","70",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-02",,,,"0.00",,,,"84","70","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-03",,,,"0.00",,,,"81","73","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-04",,,,"0.00",,,,"82","73","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-05",,,,"0.50",,,,"82","73","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-06",,,,"0.00",,,,"84","74","77",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-07",,,,"0.00",,,,"83","76","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-08",,,,"0.00",,,,"84","76","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-09",,,,"0.00",,,,"84","76","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-10",,,,"0.00",,,,"85","76","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-11",,,,"0.00",,,,"85","76","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-12",,,,"0.00",,,,"85","76","77",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-14",,,,"0.07",,,,"85","71","72",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-15",,,,"0.00",,,,"85","72","79",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-16",,,,"0.00",,,,"83","75","78",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-17",,,,"2.00",,,,"85","68","68",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-18",,,,"0.02",,,,"85","61","62",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-20",,,,"0.00",,,,"77","62","65",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-22",,,,"0.00",,,,"79","63","63",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-23",,,,"0.00",,,,"80","63","66",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-24",,,,"0.00",,,,"81","66","69",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-25",,,,"0.00",,,,"81","68","68",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-26",,,,"0.00",,,,"82","68","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-27",,,,"0.00",,,,"82","68","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-29",,,,"0.00",,,,"83","68","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-30",,,,"0.08",,,,"83","73","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-03-31",,,,"0.19",,,,"81","72","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-01",,,,"0.00",,,,"81","72","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-02",,,,"0.00",,,,"82","72","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-04",,,,"0.00",,,,"83","72","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-05",,,,"0.00",,,,"82","75","76",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-06",,,,"0.07",,,,"83","75","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-07",,,,"0.00",,,,"83","74","75",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-08",,,,"0.05",,,,"84","74","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-11",,,,"0.10",,,,"84","72","73",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-13",,,,"0.00",,,,"80","72","73",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-14",,,,"0.00",,,,"80","72","74",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-15",,,,"0.00",,,,"82","73","73",,,,,,
"USC00082046","CURRY HAMMOCK STATE PARK, FL US","2026-04-16",,,,"0.00",,,,"83","72","73",,,,,,
"US1FLMN0034","BIG PINE KEY 0.9 WNW, FL US","2026-03-17",,,,"1.91",,,,,,,,,,,,
"US1FLMN0034","BIG PINE KEY 0.9 WNW, FL US","2026-03-31",,,,"0.43",,,,,,,,,,,,
"US1FLMN0034","BIG PINE KEY 0.9 WNW, FL US","2026-04-01",,,,"0.07",,,,,,,,,,,,
"US1FLMN0034","BIG PINE KEY 0.9 WNW, FL US","2026-04-08",,,,"3.57",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-01",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-02",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-03",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-04",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-05",,,,"0.64",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-06",,,,"0.01",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-07",,,,"0.04",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-09",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-10",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-11",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-16",,"    5","0.06",,,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-17",,,,"1.31",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-18",,,,"0.11",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-19",,,,"0.01",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-20",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-21",,,,"0.02",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-22",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-23",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-24",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-25",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-26",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-30",,"    4","0.01",,,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-03-31",,,,"0.05",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-01",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-02",,,,"0.01",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-03",,,,"0.18",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-06",,"    3","0.08",,,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-07",,,,"0.01",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-08",,,,"1.28",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-09",,,,"0.04",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-10",,,,"0.01",,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-11",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-12",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-15",,"    3","0.02",,,,,,,,,,,,,
"US1FLMN0077","SUMMERLAND KEY 0.8 SE, FL US","2026-04-16",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-01",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-02",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-03",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-04",,,,"0.06","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-05",,,,"0.02","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-15",,"   10","0.00",,,"0.0",,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-16",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-17",,,,"1.97","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-18",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-19",,,,"0.01","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-20",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-21",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-22",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-23",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-24",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-25",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-26",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-27",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-28",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-29",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-30",,,,"0.00","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-03-31",,,,"0.31","0.0",,,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-04-01",,,,"0.01","0.0","0.0",,,,,,,,,,
"US1FLMN0076","KEY WEST 2.2 ENE, FL US","2026-04-02",,,,"0.01","0.0","0.0",,,,,,,,,,
