"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-24",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-25",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-26",,"0.03","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-27",,"0.10","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-28",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-29",,"0.01","0.8",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-30",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-31",,"0.30","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-01",,"0.13","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-02",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-03",,"0.13","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-04",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-05",,"0.54","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-06",,"0.02","0.1",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-07",,"0.06","0.9",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-08",,"0.16","1.9",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-09",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-04-10",,"0.00","0.0","0.0",,,,,,,,,,
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-01","6.93","0.00",,,,"23","-7",,"  280","  310",,,"17.0","23.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-02","2.68","0.00",,,,"21","-16",,"  260","  250",,,"14.1","17.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-03","2.24","0.00",,,,"39","-2",,"   30","  210",,,"10.1","14.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-04","10.07","0.00",,,,"44","30",,"  210","  210",,,"19.9","25.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-05","15.43","0.00",,,,"32","17",,"   60","   60",,,"25.9","36.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-06","9.62","0.00",,,,"34","15",,"   50","   40",,,"17.0","23.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-07","12.75","0.39",,,,"61","33",,"  220","  210",,,"23.9","40.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-08","14.99","0.04",,,,"54","40",,"  220","  220",,,"25.1","34.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-09","14.99","0.00",,,,"64","41",,"  210","  220",,,"30.0","45.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-10","6.49","0.00",,,,"61","33",,"   70","   60",,,"21.0","28.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-11","15.21","0.33",,,,"38","30",,"   60","   60",,,"29.1","42.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-12","13.65","0.10",,,,"37","21",,"  260","  260",,,"25.9","40.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-13","8.28","0.10",,,,"35","21",,"   50","   50",,,"17.0","21.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-14","10.96","0.11",,,,"34","13",,"  270","  260",,,"21.0","31.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-15","9.17","0.00",,,,"35","8",,"   60","   50",,,"25.9","34.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-16","13.20","0.26",,,,"68","32",,"  180","  160",,,"25.9","38.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-17","18.79","0.03",,,,"32","14",,"  220","  220",,,"40.9","62.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-18","3.58","0.00",,,,"27","7",,"  280","  290",,,"12.1","15.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-19","7.61","0.00",,,,"37","20",,"  220","  220",,,"17.9","25.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-20","7.38","0.10",,,,"30","22",,"   50","   30",,,"19.9","25.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-21","2.91","0.00",,,,"41","26",,"  310","  310",,,"12.1","16.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-22","9.17","0.04",,,,"33","23",,"   50","   60",,,"19.9","25.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-23","7.61","0.00",,,,"37","21",,"  300","   40",,,"14.1","21.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-24","10.74","0.00",,,,"36","21",,"  230","  230",,,"23.9","34.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-25","7.38","0.03",,,,"41","27",,"   50","   60",,,"17.0","21.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-26","5.14","0.09",,,,"50","30",,"  350","  330",,,"14.1","21.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-27","8.72","0.00",,,,"33","18",,"  340","  340",,,"17.9","29.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-28","8.05","0.00",,,,"33","13",,"  250","  230",,,"19.9","27.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-29","10.07","0.00",,,,"50","27",,"  220","  270",,,"23.0","36.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-30","9.62","0.00",,,,"63","29",,"  220","  240",,,"25.9","38.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-03-31","13.87","0.31",,,,"48","33",,"   60","   60",,,"25.9","36.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-01","5.59","0.00",,,,"39","31",,"   30","  300",,,"13.0","17.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-02","13.42","0.06",,,,"43","29",,"   50","   50",,,"23.0","32.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-03","13.20","0.14",,,,"72","37",,"  220","  220",,,"33.1","51.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-04","13.65","0.03",,,,"44","36",,"   50","   50",,,"29.1","36.9"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-05","13.20","0.51",,,,"55","34",,"  220","  240",,,"25.9","40.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-06","11.41","0.00",,,,"40","27",,"  290","  290",,,"21.9","31.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-07","9.40","0.00",,,,"31","18",,"   50","   60",,,"25.1","33.1"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-08","3.58","0.00",,,,"46","15",,"  210","  260",,,"14.1","19.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-09","11.41",,,,,"69","24",,"  210","  220",,,"29.1","40.0"
"USW00094725","MASSENA INTERNATIONAL AIRPORT, NY US","2026-04-10","6.04","0.21",,,,"56","38",,"  260","  260",,,"14.1","21.0"
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-01",,"0.04","0.3",,,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-02",,"0.00","0.0",,,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-03",,"0.00","0.0",,,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-04",,"0.00","0.0",,,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-05",,"0.00","0.0",,,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-06",,"0.00","0.0",,,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-07",,"0.16","0.0","5.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-08",,"0.13","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-09",,"0.00","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-10",,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-11",,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-12",,"1.15","0.0","0.0",,,,,,,"0.0",,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-13",,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-14",,"0.06","0.4","0.5",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-15",,"0.26","3.1","2.0",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-16",,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-17",,"0.56","1.5","1.5",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-18",,"0.00","0.0","1.5",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-19",,"0.00","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-20",,"0.00","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-21",,"0.46","4.0","3.0",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-22",,"0.16","1.5","1.5",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-23",,"0.11","0.0","1.0",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-24",,"0.00","0.0","1.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-25",,"0.00","0.0","1.0",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-26",,"0.11","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-27",,"0.20","0.0","0.0",,,,,,,"0.0",,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-28",,"0.00","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-29",,"0.05","0.7","0.5",,,,,,,,"0.1",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-03-31",,"0.32","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-01",,"0.21","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-02",,"0.02","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-03",,"0.21","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-04",,"0.05","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-05",,"0.51","0.0","0.0",,,,,,,"0.0","0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-06",,"0.03","0.0","0.0",,,,,,,,"0.0",,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-07",,"0.11","1.6","1.5",,,,,,,,,,
"US1NYSL0006","HANNAWA FALLS 0.1 SW, NY US","2026-04-08",,"0.33","6.0","4.5",,,,,,,,"0.3",,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-01",,"0.02","0.0","12.0",,"30","10","10",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-03",,"0.00","0.0","11.0",,"41","-8","35",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-04",,"0.00","0.0","10.0",,"44","32","34",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-05",,"0.00","0.0","10.0",,"37","24","24",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-06",,"0.00","0.0","10.0",,"42","18","37",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-08",,"0.01","0.0","5.0",,"55","37","43",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-09",,"0.00","0.0","3.0",,"67","40","58",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-10",,"0.00","0.0","0.0",,"65","42","49",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-11",,"0.99","0.0","0.0",,"49","33","36",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-12",,"0.09","0.0",,,"50","27","30",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-13",,"0.03","0.0","0.0",,"36","24","32",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-14",,"0.25","2.5","2.0",,"34","30","31",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-15",,"0.01","0.0","2.0",,"42","18","41",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-16",,"0.25","0.0","0.0",,"68","39","39",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-17",,"0.18","2.0","2.0",,"39","17","18",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-18",,"0.00","0.0","0.0",,"28","7","26",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-19",,"0.00","0.0","0.0",,"38","25","36",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-20",,"0.35","3.0","3.0",,"36","26","29",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-22",,"0.12","0.0","2.0",,"37","26","29",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-23",,"0.00","0.0","0.0",,"36","23","31",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-24",,"0.00","0.0","0.0",,"36","18","33",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-25",,"0.00","0.0","0.0",,"45","28","39",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-26",,"0.12","0.0","0.0",,"52","37","44",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-27",,"0.00","0.0","0.0",,"44","21","22",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-28",,"0.00","0.0","0.0",,"35","14","30",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-29",,"0.02","0.0","0.0",,"50","14","43",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-30",,"0.00","0.0","0.0",,"64","39","59",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-03-31",,"0.77","0.0","0.0",,"59","36","38",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-01",,"0.11","0.0","0.0",,"40","33","36",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-02",,"0.03","0.0","0.0",,"47","31","43",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-03",,"0.07","0.0","0.0",,,,"66",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-04",,"0.01","0.0","0.0",,"66","37","66",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-05",,"0.51","0.0","0.0",,"66","40","40",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-06",,"0.00","0.0","0.0",,"43","30","37",,,,,,
"USC00303346","GOUVERNEUR 3 NW, NY US","2026-04-07",,"0.21","2.5","3.0",,"37","24","24",,,,,,
